NCBI Accession,type,proportion,number of bp
NZ_AP017579.1,prokaryote,1.24E-06,24.80060107
NZ_AP017580.1,prokaryote,1.16E-06,23.14887118
NZ_AP017581.1,prokaryote,1.11E-06,22.21206915
NZ_AP017602.1,prokaryote,1.15E-06,22.90234433
NZ_AP017610.1,prokaryote,6.96E-07,13.928767
NZ_AP017617.1,prokaryote,1.19E-06,23.86379904
NZ_AP017620.1,prokaryote,9.98E-07,19.96867482
NZ_AP017623.1,prokaryote,6.38E-06,127.5776447
NZ_AP017624.1,prokaryote,6.83E-06,136.5265693
NZ_AP017629.1,prokaryote,1.45E-06,28.94225215
NZ_AP017630.1,prokaryote,1.79E-05,358.0309437
NZ_AP017649.1,prokaryote,4.81E-06,96.26873478
NZ_AP017652.1,prokaryote,8.34E-06,166.7261084
NZ_AP017655.1,prokaryote,7.00E-06,140.0025979
NZ_AP017896.1,prokaryote,2.85E-06,57.07096569
NZ_AP017900.1,prokaryote,5.13E-06,102.6291275
NZ_AP017901.1,prokaryote,8.63E-08,1.725687947
NZ_AP017902.1,prokaryote,9.94E-06,198.8732096
NZ_AP017913.1,prokaryote,9.00E-06,179.9152949
NZ_AP017914.1,prokaryote,2.09E-06,41.73699564
NZ_AP017920.1,prokaryote,2.44E-06,48.86162159
NZ_AP017929.1,prokaryote,2.02E-06,40.43040334
NZ_AP017931.1,prokaryote,1.87E-06,37.3734704
NZ_AP017935.1,prokaryote,5.61E-06,112.2436746
NZ_AP017936.1,prokaryote,7.23E-06,144.686608
NZ_AP017959.1,prokaryote,8.94E-06,178.8552294
NZ_AP017968.1,prokaryote,5.29E-05,1057.64949
NZ_AP017971.1,prokaryote,3.31E-06,66.24176449
NZ_AP017973.1,prokaryote,1.40E-06,28.05475549
NZ_AP017975.1,prokaryote,3.43E-06,68.58376956
NZ_AP018033.1,prokaryote,1.36E-07,2.711795346
NZ_AP018034.1,prokaryote,8.87E-08,1.774993317
NZ_AP018035.1,prokaryote,7.03E-08,1.405203043
NZ_AP018036.1,prokaryote,7.15E-08,1.429855728
NZ_AP018042.1,prokaryote,5.18E-05,1036.744013
NZ_AP018045.1,prokaryote,9.13E-06,182.5777848
NZ_AP018046.1,prokaryote,4.02E-06,80.34310029
NZ_AP018052.1,prokaryote,6.13E-06,122.5238443
NZ_AP018111.1,prokaryote,1.85E-06,36.92972207
NZ_AP018112.1,prokaryote,1.80E-06,36.04222541
NZ_AP018113.1,prokaryote,8.55E-07,17.10896336
NZ_AP018164.1,prokaryote,5.05E-06,100.9527449
NZ_AP018165.1,prokaryote,5.11E-06,102.2839899
NZ_AP018172.1,prokaryote,4.46E-05,891.1699087
NZ_AP018203.1,prokaryote,2.10E-05,419.4654346
NZ_AP018254.1,prokaryote,3.84E-05,768.7200225
NZ_AP018255.1,prokaryote,6.93E-05,1386.935403
NZ_AP018280.1,prokaryote,4.82E-05,963.1310961
NZ_AP018281.1,prokaryote,2.94E-05,588.0158417
NZ_AP018338.1,prokaryote,7.54E-06,150.8004739
NZ_CP001973.1,prokaryote,7.42E-06,148.3352054
NZ_CP003560.1,prokaryote,6.04E-05,1207.537815
NZ_CP003561.1,prokaryote,2.21E-05,441.5542404
NZ_CP004021.1,prokaryote,8.11E-06,162.1900144
NZ_CP004046.1,prokaryote,1.12E-06,22.43394332
NZ_CP004062.1,prokaryote,1.12E-06,22.31067989
NZ_CP005083.1,prokaryote,7.41E-06,148.1133313
NZ_CP005084.1,prokaryote,2.00E-06,40.03596038
NZ_CP005188.1,prokaryote,5.37E-06,107.3377903
NZ_CP005189.1,prokaryote,1.23E-06,24.57872691
NZ_CP005970.1,prokaryote,6.18E-06,123.559257
NZ_CP006058.1,prokaryote,2.26E-06,45.11441348
NZ_CP006367.1,prokaryote,4.59E-06,91.83125148
NZ_CP006632.1,prokaryote,1.36E-06,27.19191151
NZ_CP006636.1,prokaryote,2.38E-07,4.757968198
NZ_CP006748.1,prokaryote,2.50E-06,50.09425584
NZ_CP006751.1,prokaryote,2.52E-06,50.43939343
NZ_CP006754.1,prokaryote,2.61E-06,52.21438675
NZ_CP006758.1,prokaryote,2.45E-06,49.0095377
NZ_CP006762.1,prokaryote,2.45E-06,49.0095377
NZ_CP006783.1,prokaryote,2.41E-06,48.24530447
NZ_CP006792.1,prokaryote,2.46E-06,49.20675918
NZ_CP006803.1,prokaryote,1.38E-05,275.370491
NZ_CP006804.1,prokaryote,3.36E-06,67.10460847
NZ_CP006830.1,prokaryote,4.49E-07,8.973577326
NZ_CP006834.1,prokaryote,6.94E-07,13.87946163
NZ_CP006841.1,prokaryote,5.92E-06,118.3821932
NZ_CP006867.1,prokaryote,7.22E-06,144.4154285
NZ_CP006870.1,prokaryote,3.08E-06,61.65636509
NZ_CP006911.1,prokaryote,1.15E-05,229.516497
NZ_CP006947.1,prokaryote,1.10E-06,22.01484767
NZ_CP006948.1,prokaryote,2.01E-07,4.018387649
NZ_CP006960.1,prokaryote,1.92E-06,38.3595778
NZ_CP006976.1,prokaryote,2.40E-06,47.99877762
NZ_CP006992.1,prokaryote,6.41E-06,128.2432672
NZ_CP007007.1,prokaryote,6.18E-07,12.35099517
NZ_CP007008.1,prokaryote,6.52E-07,13.04127034
NZ_CP007009.1,prokaryote,6.43E-07,12.86870155
NZ_CP007010.1,prokaryote,7.27E-07,14.54508413
NZ_CP007011.1,prokaryote,5.35E-07,10.69926527
NZ_CP007017.1,prokaryote,7.41E-07,14.81626366
NZ_CP007018.1,prokaryote,6.89E-07,13.78085089
NZ_CP007019.1,prokaryote,6.09E-07,12.17842637
NZ_CP007020.1,prokaryote,7.01E-07,14.02737774
NZ_CP007021.1,prokaryote,6.96E-07,13.928767
NZ_CP007040.1,prokaryote,3.09E-06,61.85358657
NZ_CP007121.1,prokaryote,1.14E-05,228.3085154
NZ_CP007131.1,prokaryote,3.30E-07,6.60691957
NZ_CP007158.1,prokaryote,2.85E-06,56.97235495
NZ_CP007159.1,prokaryote,2.71E-06,54.16194886
NZ_CP007167.1,prokaryote,8.65E-07,17.30618484
NZ_CP007168.1,prokaryote,1.08E-06,21.69436277
NZ_CP007169.1,prokaryote,1.07E-06,21.34922518
NZ_CP007170.1,prokaryote,8.12E-07,16.24611939
NZ_CP007171.1,prokaryote,8.51E-07,17.01035262
NZ_CP007188.1,prokaryote,9.33E-07,18.66208252
NZ_CP007189.1,prokaryote,1.56E-06,31.11168842
NZ_CP007190.1,prokaryote,1.65E-06,32.91133442
NZ_CP007191.1,prokaryote,7.17E-07,14.34786265
NZ_CP007192.1,prokaryote,6.80E-07,13.6082821
NZ_CP007193.1,prokaryote,7.38E-07,14.76695829
NZ_CP007194.1,prokaryote,6.08E-07,12.15377369
NZ_CP007195.1,prokaryote,6.55E-07,13.09057571
NZ_CP007196.1,prokaryote,8.07E-07,16.14750865
NZ_CP007197.1,prokaryote,1.02E-06,20.38777046
NZ_CP007198.1,prokaryote,9.49E-07,18.98256742
NZ_CP007199.1,prokaryote,7.37E-07,14.74230561
NZ_CP007200.1,prokaryote,8.32E-07,16.64056235
NZ_CP007204.1,prokaryote,7.42E-06,148.3598581
NZ_CP007205.2,prokaryote,3.44E-06,68.75633836
NZ_CP007212.1,prokaryote,4.01E-06,80.14587881
NZ_CP007213.1,prokaryote,3.43E-06,68.53446419
NZ_CP007220.1,prokaryote,4.02E-06,80.34310029
NZ_CP007223.1,prokaryote,1.08E-05,215.3165505
NZ_CP007255.1,prokaryote,4.13E-06,82.58649462
NZ_CP007275.1,prokaryote,5.12E-07,10.23086426
NZ_CP007389.1,prokaryote,2.27E-05,453.634056
NZ_CP007440.1,prokaryote,1.38E-05,276.8249994
NZ_CP007442.1,prokaryote,5.24E-07,10.47739111
NZ_CP007459.1,prokaryote,8.39E-07,16.78847846
NZ_CP007460.1,prokaryote,9.17E-07,18.34159761
NZ_CP007461.1,prokaryote,8.63E-07,17.25687947
NZ_CP007462.1,prokaryote,8.54E-07,17.08431068
NZ_CP007491.1,prokaryote,6.56E-07,13.1152284
NZ_CP007504.1,prokaryote,8.58E-06,171.6319927
NZ_CP007525.1,prokaryote,8.37E-07,16.73917309
NZ_CP007526.1,prokaryote,9.38E-07,18.76069326
NZ_CP007560.1,prokaryote,1.56E-06,31.21029916
NZ_CP007561.1,prokaryote,1.22E-06,24.33220006
NZ_CP007562.1,prokaryote,1.00E-06,20.04263287
NZ_CP007589.1,prokaryote,2.15E-06,43.01893526
NZ_CP007590.1,prokaryote,2.37E-06,47.3824605
NZ_CP007591.1,prokaryote,2.41E-06,48.24530447
NZ_CP007657.1,prokaryote,4.04E-07,8.086080668
NZ_CP007667.1,prokaryote,7.63E-07,15.26001199
NZ_CP007668.1,prokaryote,7.59E-07,15.18605394
NZ_CP007670.1,prokaryote,4.56E-07,9.121493436
NZ_CP007672.1,prokaryote,4.75E-07,9.49128371
NZ_CP007674.1,prokaryote,3.94E-07,7.888859188
NZ_CP007676.1,prokaryote,4.06E-07,8.110733353
NZ_CP007684.1,prokaryote,1.24E-06,24.87455913
NZ_CP007685.1,prokaryote,1.31E-06,26.25510948
NZ_CP007686.1,prokaryote,8.11E-07,16.22146671
NZ_CP007687.1,prokaryote,8.71E-07,17.42944827
NZ_CP007688.1,prokaryote,8.99E-07,17.97180734
NZ_CP007689.1,prokaryote,1.55E-06,31.08703574
NZ_CP007749.1,prokaryote,1.06E-06,21.20130907
NZ_CP007810.1,prokaryote,2.51E-06,50.26682464
NZ_CP008697.1,prokaryote,5.44E-07,10.87183407
NZ_CP008714.1,prokaryote,3.15E-06,63.03691545
NZ_CP008742.1,prokaryote,5.71E-06,114.1172787
NZ_CP008743.1,prokaryote,1.29E-05,257.1521568
NZ_CP008744.1,prokaryote,7.64E-08,1.528466468
NZ_CP008746.1,prokaryote,3.95E-05,789.5022359
NZ_CP008750.1,prokaryote,1.80E-07,3.599292004
NZ_CP008751.1,prokaryote,9.24E-08,1.848951372
NZ_CP008774.1,prokaryote,1.87E-07,3.747208114
NZ_CP008775.1,prokaryote,1.53E-07,3.056932935
NZ_CP008776.1,prokaryote,1.39E-06,27.78357595
NZ_CP008813.1,prokaryote,1.53E-06,30.54467667
NZ_CP008821.1,prokaryote,8.59E-07,17.18292142
NZ_CP008836.1,prokaryote,6.80E-07,13.6082821
NZ_CP008837.1,prokaryote,6.42E-07,12.84404887
NZ_CP008856.2,prokaryote,5.03E-07,10.05829546
NZ_CP008857.1,prokaryote,9.65E-07,19.30305233
NZ_CP008858.2,prokaryote,5.92E-07,11.83328878
NZ_CP008859.2,prokaryote,3.02E-06,60.39907816
NZ_CP008860.2,prokaryote,5.87E-07,11.73467804
NZ_CP008861.1,prokaryote,9.07E-07,18.14437613
NZ_CP008862.2,prokaryote,3.92E-07,7.839553818
NZ_CP008863.1,prokaryote,4.72E-07,9.44197834
NZ_CP008864.2,prokaryote,5.79E-07,11.58676193
NZ_CP008865.2,prokaryote,4.57E-07,9.146146121
NZ_CP008866.2,prokaryote,7.37E-07,14.74230561
NZ_CP008867.1,prokaryote,5.72E-07,11.43884582
NZ_CP008868.1,prokaryote,6.00E-07,12.00585758
NZ_CP008869.2,prokaryote,1.12E-06,22.48324869
NZ_CP008870.2,prokaryote,5.81E-07,11.61141462
NZ_CP008871.2,prokaryote,1.02E-06,20.33846509
NZ_CP008872.2,prokaryote,3.75E-07,7.494416228
NZ_CP008873.1,prokaryote,7.99E-07,15.97493986
NZ_CP008886.1,prokaryote,3.47E-06,69.44661354
NZ_CP008925.1,prokaryote,4.78E-07,9.565241765
NZ_CP008934.1,prokaryote,5.99E-06,119.7134382
NZ_CP009108.1,prokaryote,5.48E-06,109.5811847
NZ_CP009111.1,prokaryote,8.02E-06,160.4643264
NZ_CP009220.1,prokaryote,5.87E-06,117.3221277
NZ_CP009230.1,prokaryote,1.09E-05,217.0422384
NZ_CP009236.1,prokaryote,9.26E-07,18.51416641
NZ_CP009240.1,prokaryote,1.50E-05,299.554775
NZ_CP009242.1,prokaryote,6.66E-06,133.1984569
NZ_CP009243.1,prokaryote,5.05E-08,1.010760083
NZ_CP009244.1,prokaryote,4.02E-06,80.46636372
NZ_CP009245.1,prokaryote,5.90E-06,118.0124029
NZ_CP009246.1,prokaryote,5.35E-06,106.9433474
NZ_CP009247.1,prokaryote,3.69E-06,73.85944415
NZ_CP009248.1,prokaryote,2.30E-06,46.02656282
NZ_CP009249.1,prokaryote,8.86E-06,177.2034995
NZ_CP009251.1,prokaryote,4.06E-06,81.13198621
NZ_CP009253.1,prokaryote,7.56E-06,151.2195696
NZ_CP009259.1,prokaryote,1.73E-06,34.51375895
NZ_CP009312.1,prokaryote,2.40E-06,47.90016688
NZ_CP009360.2,prokaryote,1.38E-06,27.51239642
NZ_CP009423.1,prokaryote,4.70E-07,9.392672971
NZ_CP009429.1,prokaryote,3.79E-06,75.70839552
NZ_CP009452.1,prokaryote,7.43E-06,148.5324269
NZ_CP009456.1,prokaryote,1.67E-05,333.3782587
NZ_CP009470.1,prokaryote,6.79E-06,135.8362941
NZ_CP009471.1,prokaryote,2.95E-05,590.0373619
NZ_CP009498.1,prokaryote,1.37E-05,273.5954977
NZ_CP009557.1,prokaryote,1.67E-05,334.1671447
NZ_CP009623.1,prokaryote,2.00E-05,399.4474544
NZ_CP009625.1,prokaryote,2.00E-07,3.993734964
NZ_CP009626.1,prokaryote,1.70E-07,3.402070525
NZ_CP009653.1,prokaryote,5.30E-06,105.9818927
NZ_CP009654.1,prokaryote,1.75E-05,350.1174318
NZ_CP009676.1,prokaryote,6.28E-06,125.5068191
NZ_CP009682.1,prokaryote,4.61E-06,92.25034713
NZ_CP009687.1,prokaryote,3.76E-05,751.389185
NZ_CP009725.1,prokaryote,2.34E-07,4.684010143
NZ_CP009726.1,prokaryote,9.98E-08,1.996867482
NZ_CP009727.1,prokaryote,1.36E-07,2.711795346
NZ_CP009728.1,prokaryote,9.98E-08,1.996867482
NZ_CP009729.1,prokaryote,2.19E-07,4.388177923
NZ_CP009730.1,prokaryote,9.74E-08,1.947562112
NZ_CP009731.1,prokaryote,1.96E-07,3.919776909
NZ_CP009732.1,prokaryote,1.01E-07,2.021520167
NZ_CP009733.1,prokaryote,1.98E-06,39.56755936
NZ_CP009734.1,prokaryote,1.18E-07,2.366657756
NZ_CP009735.1,prokaryote,1.71E-07,3.42672321
NZ_CP009736.1,prokaryote,1.01E-07,2.021520167
NZ_CP009737.1,prokaryote,3.77E-07,7.543721598
NZ_CP009738.1,prokaryote,1.10E-07,2.194088962
NZ_CP009739.1,prokaryote,2.43E-07,4.856578938
NZ_CP009740.1,prokaryote,8.75E-08,1.750340632
NZ_CP009741.1,prokaryote,1.60E-07,3.204849045
NZ_CP009742.1,prokaryote,1.23E-07,2.465268496
NZ_CP009743.1,prokaryote,2.12E-06,42.42727082
NZ_CP009744.1,prokaryote,2.96E-06,59.11713854
NZ_CP009745.1,prokaryote,1.51E-06,30.17488639
NZ_CP009762.1,prokaryote,5.85E-06,117.0262955
NZ_CP009764.1,prokaryote,1.11E-06,22.23672184
NZ_CP009765.1,prokaryote,2.95E-06,58.99387511
NZ_CP009766.1,prokaryote,1.23E-06,24.65268496
NZ_CP009768.1,prokaryote,2.59E-07,5.177063842
NZ_CP009769.1,prokaryote,7.78E-06,155.5584421
NZ_CP009790.1,prokaryote,1.48E-06,29.58322195
NZ_CP009802.1,prokaryote,6.80E-06,135.9102522
NZ_CP009823.1,prokaryote,1.52E-06,30.34745519
NZ_CP009826.1,prokaryote,1.64E-06,32.73876563
NZ_CP009828.1,prokaryote,1.17E-06,23.4447034
NZ_CP009829.1,prokaryote,1.75E-06,34.98215996
NZ_CP009847.1,prokaryote,4.17E-06,83.35072786
NZ_CP009848.1,prokaryote,2.63E-06,52.63348239
NZ_CP009885.1,prokaryote,1.80E-06,35.91896199
NZ_CP009928.1,prokaryote,6.56E-05,1311.128397
NZ_CP009929.1,prokaryote,1.58E-07,3.155543675
NZ_CP009930.1,prokaryote,9.49E-08,1.898256742
NZ_CP009931.1,prokaryote,1.73E-07,3.451375895
NZ_CP009932.1,prokaryote,1.15E-07,2.292699701
NZ_CP009977.1,prokaryote,5.13E-06,102.6044748
NZ_CP009978.1,prokaryote,2.75E-06,54.9261821
NZ_CP009982.1,prokaryote,2.32E-06,46.3963531
NZ_CP009983.1,prokaryote,1.13E-06,22.60651211
NZ_CP009984.1,prokaryote,2.61E-06,52.21438675
NZ_CP009985.1,prokaryote,3.76E-06,75.16603645
NZ_CP010051.1,prokaryote,1.52E-06,30.47071861
NZ_CP010071.1,prokaryote,4.53E-06,90.64792261
NZ_CP010106.1,prokaryote,5.45E-06,108.9895202
NZ_CP010116.1,prokaryote,4.47E-07,8.948924641
NZ_CP010117.1,prokaryote,1.68E-06,33.52765155
NZ_CP010119.1,prokaryote,7.01E-07,14.02737774
NZ_CP010121.1,prokaryote,1.08E-06,21.54644666
NZ_CP010122.1,prokaryote,2.21E-06,44.15295877
NZ_CP010125.1,prokaryote,5.65E-07,11.29092971
NZ_CP010129.1,prokaryote,5.56E-07,11.11836092
NZ_CP010132.1,prokaryote,2.01E-06,40.10991843
NZ_CP010133.1,prokaryote,2.00E-06,39.91269695
NZ_CP010134.1,prokaryote,4.34E-07,8.677745107
NZ_CP010137.1,prokaryote,3.53E-07,7.050667899
NZ_CP010140.1,prokaryote,6.02E-07,12.03051026
NZ_CP010143.1,prokaryote,5.14E-07,10.28016963
NZ_CP010145.1,prokaryote,4.06E-07,8.110733353
NZ_CP010148.1,prokaryote,5.62E-07,11.24162434
NZ_CP010150.1,prokaryote,8.83E-07,17.65132243
NZ_CP010151.1,prokaryote,9.75E-07,19.50027381
NZ_CP010152.1,prokaryote,2.22E-07,4.437483293
NZ_CP010157.1,prokaryote,1.10E-06,21.91623693
NZ_CP010160.1,prokaryote,9.34E-07,18.6867352
NZ_CP010163.1,prokaryote,4.99E-07,9.98433741
NZ_CP010167.1,prokaryote,4.57E-07,9.146146121
NZ_CP010169.1,prokaryote,4.91E-07,9.811768615
NZ_CP010170.1,prokaryote,4.70E-07,9.392672971
NZ_CP010171.1,prokaryote,5.74E-07,11.48815119
NZ_CP010172.1,prokaryote,5.26E-07,10.52669648
NZ_CP010176.1,prokaryote,4.70E-07,9.392672971
NZ_CP010177.1,prokaryote,5.89E-07,11.78398341
NZ_CP010178.1,prokaryote,7.78E-07,15.55584421
NZ_CP010180.1,prokaryote,5.10E-07,10.20621157
NZ_CP010183.1,prokaryote,4.97E-07,9.93503204
NZ_CP010186.1,prokaryote,7.05E-07,14.1013358
NZ_CP010191.1,prokaryote,4.45E-07,8.899619271
NZ_CP010196.1,prokaryote,6.84E-07,13.68224015
NZ_CP010200.1,prokaryote,7.09E-07,14.17529385
NZ_CP010206.1,prokaryote,6.04E-07,12.07981563
NZ_CP010213.1,prokaryote,5.73E-07,11.46349851
NZ_CP010219.1,prokaryote,1.31E-06,26.27976217
NZ_CP010221.1,prokaryote,5.65E-07,11.29092971
NZ_CP010226.1,prokaryote,5.98E-07,11.95655221
NZ_CP010228.1,prokaryote,4.56E-07,9.121493436
NZ_CP010229.1,prokaryote,9.42E-07,18.83465131
NZ_CP010230.1,prokaryote,6.31E-07,12.6221747
NZ_CP010231.1,prokaryote,4.13E-07,8.258649462
NZ_CP010235.1,prokaryote,4.76E-07,9.515936395
NZ_CP010236.1,prokaryote,6.05E-07,12.10446832
NZ_CP010237.1,prokaryote,9.63E-07,19.25374696
NZ_CP010238.1,prokaryote,1.78E-06,35.64778246
NZ_CP010240.1,prokaryote,6.55E-07,13.09057571
NZ_CP010242.1,prokaryote,5.92E-07,11.83328878
NZ_CP010249.1,prokaryote,2.71E-08,0.542359069
NZ_CP010250.1,prokaryote,2.47E-08,0.493053699
NZ_CP010251.1,prokaryote,2.96E-08,0.591664439
NZ_CP010252.1,prokaryote,3.45E-08,0.690275179
NZ_CP010253.1,prokaryote,3.20E-08,0.640969809
NZ_CP010254.1,prokaryote,3.20E-08,0.640969809
NZ_CP010255.1,prokaryote,1.48E-08,0.29583222
NZ_CP010256.1,prokaryote,1.97E-08,0.394442959
NZ_CP010257.1,prokaryote,3.45E-08,0.690275179
NZ_CP010258.1,prokaryote,1.73E-08,0.345137589
NZ_CP010259.1,prokaryote,3.33E-08,0.665622494
NZ_CP010260.1,prokaryote,2.96E-08,0.591664439
NZ_CP010261.1,prokaryote,3.20E-08,0.640969809
NZ_CP010262.1,prokaryote,1.85E-08,0.369790274
NZ_CP010263.1,prokaryote,3.94E-08,0.788885919
NZ_CP010264.1,prokaryote,2.22E-08,0.443748329
NZ_CP010265.1,prokaryote,3.20E-08,0.640969809
NZ_CP010266.1,prokaryote,3.70E-08,0.739580549
NZ_CP010271.1,prokaryote,5.55E-06,111.0356931
NZ_CP010309.1,prokaryote,6.70E-06,133.9133847
NZ_CP010319.1,prokaryote,1.42E-06,28.30128234
NZ_CP010330.1,prokaryote,9.98E-08,1.996867482
NZ_CP010337.1,prokaryote,7.15E-08,1.429855728
NZ_CP010339.1,prokaryote,5.92E-08,1.183328878
NZ_CP010348.1,prokaryote,3.33E-07,6.65622494
NZ_CP010349.1,prokaryote,9.98E-08,1.996867482
NZ_CP010350.1,prokaryote,1.47E-05,293.8846574
NZ_CP010401.1,prokaryote,8.49E-06,169.8816521
NZ_CP010402.1,prokaryote,2.90E-06,58.0324204
NZ_CP010411.1,prokaryote,3.86E-06,77.26151467
NZ_CP010412.1,prokaryote,3.05E-06,61.08935334
NZ_CP010413.1,prokaryote,1.23E-06,24.65268496
NZ_CP010423.1,prokaryote,1.56E-05,312.0290336
NZ_CP010449.1,prokaryote,6.69E-06,133.7161632
NZ_CP010450.1,prokaryote,1.20E-06,23.96240978
NZ_CP010453.1,prokaryote,3.33E-06,66.51294403
NZ_CP010457.1,prokaryote,6.73E-07,13.46036599
NZ_CP010458.1,prokaryote,4.55E-07,9.096840751
NZ_CP010459.1,prokaryote,4.45E-07,8.899619271
NZ_CP010460.1,prokaryote,4.45E-07,8.899619271
NZ_CP010461.1,prokaryote,5.71E-07,11.41419314
NZ_CP010462.1,prokaryote,5.24E-07,10.47739111
NZ_CP010463.1,prokaryote,4.79E-07,9.58989445
NZ_CP010464.1,prokaryote,5.14E-07,10.28016963
NZ_CP010465.1,prokaryote,3.93E-07,7.864206503
NZ_CP010466.1,prokaryote,4.86E-07,9.713157875
NZ_CP010467.1,prokaryote,4.93E-07,9.861073985
NZ_CP010468.1,prokaryote,4.41E-07,8.825661216
NZ_CP010469.1,prokaryote,4.86E-07,9.713157875
NZ_CP010470.1,prokaryote,4.33E-07,8.653092422
NZ_CP010471.1,prokaryote,5.45E-07,10.89648675
NZ_CP010472.1,prokaryote,8.01E-07,16.02424523
NZ_CP010473.1,prokaryote,4.96E-07,9.910379355
NZ_CP010474.1,prokaryote,4.83E-07,9.663852505
NZ_CP010475.1,prokaryote,5.98E-07,11.95655221
NZ_CP010476.1,prokaryote,7.77E-07,15.53119153
NZ_CP010477.1,prokaryote,5.86E-07,11.71002536
NZ_CP010479.1,prokaryote,5.71E-07,11.41419314
NZ_CP010480.1,prokaryote,6.92E-07,13.83015626
NZ_CP010481.1,prokaryote,4.43E-07,8.850313901
NZ_CP010482.1,prokaryote,5.34E-07,10.67461259
NZ_CP010483.1,prokaryote,4.10E-07,8.209344092
NZ_CP010484.1,prokaryote,4.77E-07,9.54058908
NZ_CP010485.1,prokaryote,5.36E-07,10.72391796
NZ_CP010486.1,prokaryote,4.41E-07,8.825661216
NZ_CP010487.1,prokaryote,4.98E-07,9.959684725
NZ_CP010488.1,prokaryote,4.79E-07,9.58989445
NZ_CP010489.1,prokaryote,7.56E-07,15.11209588
NZ_CP010490.1,prokaryote,4.49E-07,8.973577326
NZ_CP010491.1,prokaryote,4.52E-07,9.047535381
NZ_CP010492.1,prokaryote,5.42E-07,10.84718138
NZ_CP010493.1,prokaryote,5.66E-07,11.3155824
NZ_CP010494.1,prokaryote,4.29E-07,8.579134367
NZ_CP010495.1,prokaryote,5.13E-07,10.25551694
NZ_CP010496.1,prokaryote,5.18E-07,10.35412768
NZ_CP010497.1,prokaryote,5.10E-07,10.20621157
NZ_CP010498.1,prokaryote,4.29E-07,8.579134367
NZ_CP010499.1,prokaryote,4.68E-07,9.368020286
NZ_CP010500.1,prokaryote,5.92E-07,11.83328878
NZ_CP010501.1,prokaryote,6.16E-07,12.32634248
NZ_CP010502.1,prokaryote,4.62E-07,9.244756861
NZ_CP010503.1,prokaryote,3.72E-07,7.445110859
NZ_CP010504.1,prokaryote,4.59E-07,9.170798806
NZ_CP010505.1,prokaryote,4.84E-07,9.68850519
NZ_CP010506.1,prokaryote,4.60E-07,9.195451491
NZ_CP010507.1,prokaryote,5.34E-07,10.67461259
NZ_CP010508.1,prokaryote,7.85E-07,15.70376032
NZ_CP010509.1,prokaryote,4.68E-07,9.368020286
NZ_CP010510.1,prokaryote,4.77E-07,9.54058908
NZ_CP010511.1,prokaryote,4.10E-07,8.209344092
NZ_CP010516.1,prokaryote,3.86E-06,77.2122093
NZ_CP010517.1,prokaryote,2.19E-06,43.80782118
NZ_CP010522.1,prokaryote,1.36E-05,272.1409893
NZ_CP010535.1,prokaryote,2.44E-05,487.9259408
NZ_CP010538.1,prokaryote,3.73E-07,7.469763544
NZ_CP010539.1,prokaryote,2.93E-07,5.867339021
NZ_CP010540.1,prokaryote,3.00E-07,5.990602446
NZ_CP010541.1,prokaryote,2.95E-07,5.891991706
NZ_CP010542.1,prokaryote,3.35E-07,6.70553031
NZ_CP010543.1,prokaryote,3.60E-07,7.198584009
NZ_CP010544.1,prokaryote,3.06E-07,6.113865871
NZ_CP010545.1,prokaryote,3.86E-07,7.716290393
NZ_CP010546.1,prokaryote,3.08E-07,6.163171241
NZ_CP010547.1,prokaryote,3.09E-07,6.187823925
NZ_CP010548.1,prokaryote,2.96E-07,5.916644391
NZ_CP010549.1,prokaryote,3.12E-07,6.237129295
NZ_CP010550.1,prokaryote,3.29E-07,6.582266885
NZ_CP010551.1,prokaryote,3.06E-07,6.113865871
NZ_CP010552.1,prokaryote,8.10E-06,161.9188348
NZ_CP010567.1,prokaryote,3.49E-07,6.976709844
NZ_CP010569.1,prokaryote,3.93E-07,7.864206503
NZ_CP010571.1,prokaryote,3.71E-07,7.420458174
NZ_CP010586.1,prokaryote,2.27E-05,454.4229419
NZ_CP010588.1,prokaryote,2.04E-06,40.8248463
NZ_CP010599.1,prokaryote,1.25E-06,25.07178061
NZ_CP010610.1,prokaryote,1.26E-06,25.17039135
NZ_CP010617.1,prokaryote,1.25E-06,24.99782255
NZ_CP010623.1,prokaryote,1.18E-06,23.64192488
NZ_CP010629.1,prokaryote,1.67E-06,33.42904081
NZ_CP010636.1,prokaryote,2.00E-06,40.03596038
NZ_CP010643.1,prokaryote,1.95E-06,38.97589493
NZ_CP010650.1,prokaryote,1.39E-06,27.73427058
NZ_CP010656.1,prokaryote,2.18E-06,43.51198896
NZ_CP010661.1,prokaryote,1.21E-06,24.258242
NZ_CP010668.1,prokaryote,1.11E-06,22.26137452
NZ_CP010673.1,prokaryote,2.16E-06,43.26546211
NZ_CP010681.1,prokaryote,2.49E-06,49.72446557
NZ_CP010689.1,prokaryote,1.86E-06,37.27485966
NZ_CP010696.1,prokaryote,1.12E-06,22.33533258
NZ_CP010705.1,prokaryote,1.29E-06,25.86066653
NZ_CP010715.1,prokaryote,1.93E-06,38.50749391
NZ_CP010725.1,prokaryote,1.68E-06,33.65091497
NZ_CP010735.1,prokaryote,2.17E-06,43.33942016
NZ_CP010741.1,prokaryote,1.35E-06,27.06864809
NZ_CP010745.1,prokaryote,1.50E-06,29.95301223
NZ_CP010749.1,prokaryote,1.29E-06,25.78670847
NZ_CP010756.1,prokaryote,1.19E-06,23.71588293
