NCBI Accession,type,proportion,number of bp
NZ_AP014951.1,prokaryote,3.14E-05,628.1504128
NZ_AP014956.1,prokaryote,5.75E-05,1150.29428
NZ_AP015029.1,prokaryote,4.42E-05,883.552229
NZ_AP017295.1,prokaryote,0.000201591,4031.823362
NZ_AP017302.1,prokaryote,5.24E-06,104.8971745
NZ_AP017305.1,prokaryote,0.000173654,3473.070257
NZ_AP017308.1,prokaryote,0.000116515,2330.295046
NZ_AP017312.1,prokaryote,9.95E-05,1990.827574
NZ_AP017313.1,prokaryote,0.00018402,3680.399338
NZ_AP017315.1,prokaryote,1.50E-05,300.6394931
NZ_AP017318.1,prokaryote,1.46E-06,29.21343168
NZ_AP017319.1,prokaryote,1.65E-06,33.03459785
NZ_AP017320.1,prokaryote,2.91E-06,58.18033651
NZ_AP017367.1,prokaryote,8.20E-05,1639.40355
NZ_AP017368.1,prokaryote,3.38E-05,676.7162022
NZ_AP017369.1,prokaryote,5.37E-05,1074.364011
NZ_AP017373.1,prokaryote,8.02E-05,1603.533893
NZ_AP017375.1,prokaryote,0.000187342,3746.838324
NZ_AP017377.1,prokaryote,2.58E-06,51.52411157
NZ_AP017381.1,prokaryote,2.41E-05,481.959991
NZ_AP017422.1,prokaryote,0.000313237,6264.740303
NZ_AP017457.1,prokaryote,2.83E-05,565.532593
NZ_AP017459.1,prokaryote,5.83E-05,1165.702208
NZ_AP017469.1,prokaryote,5.93E-05,1186.2872
NZ_AP017557.1,prokaryote,5.36E-06,107.1159162
NZ_AP017558.1,prokaryote,2.49E-05,497.614446
NZ_AP017569.1,prokaryote,1.50E-05,299.0370686
NZ_AP017572.1,prokaryote,5.87E-06,117.4700438
NZ_AP017573.1,prokaryote,5.53E-06,110.5672921
NZ_AP017574.1,prokaryote,5.93E-06,118.5794147
NZ_AP017575.1,prokaryote,5.69E-06,113.8954045
NZ_AP017576.1,prokaryote,5.45E-06,109.088131
NZ_AP017577.1,prokaryote,5.27E-06,105.3902282
NZ_AP017578.1,prokaryote,5.47E-06,109.3346578
NZ_AP017579.1,prokaryote,6.20E-06,124.0030054
NZ_AP017580.1,prokaryote,5.79E-06,115.7443559
NZ_AP017581.1,prokaryote,5.55E-06,111.0603458
NZ_AP017602.1,prokaryote,5.73E-06,114.5117216
NZ_AP017610.1,prokaryote,3.48E-06,69.64383502
NZ_AP017617.1,prokaryote,5.97E-06,119.3189952
NZ_AP017620.1,prokaryote,4.99E-06,99.8433741
NZ_AP017623.1,prokaryote,3.19E-05,637.8882234
NZ_AP017624.1,prokaryote,3.41E-05,682.6328466
NZ_AP017629.1,prokaryote,7.24E-06,144.7112607
NZ_AP017630.1,prokaryote,8.95E-05,1790.154719
NZ_AP017649.1,prokaryote,2.41E-05,481.3436739
NZ_AP017652.1,prokaryote,4.17E-05,833.630542
NZ_AP017655.1,prokaryote,3.50E-05,700.0129895
NZ_AP017896.1,prokaryote,1.43E-05,285.3548284
NZ_AP017900.1,prokaryote,2.57E-05,513.1456375
NZ_AP017901.1,prokaryote,4.31E-07,8.628439737
NZ_AP017902.1,prokaryote,4.97E-05,994.3660479
NZ_AP017913.1,prokaryote,4.50E-05,899.5764743
NZ_AP017914.1,prokaryote,1.04E-05,208.6849782
NZ_AP017920.1,prokaryote,1.22E-05,244.308108
NZ_AP017929.1,prokaryote,1.01E-05,202.1520167
NZ_AP017931.1,prokaryote,9.34E-06,186.867352
NZ_AP017935.1,prokaryote,2.81E-05,561.2183732
NZ_AP017936.1,prokaryote,3.62E-05,723.4330402
NZ_AP017959.1,prokaryote,4.47E-05,894.276147
NZ_AP017968.1,prokaryote,0.000264412,5288.247451
NZ_AP017971.1,prokaryote,1.66E-05,331.2088225
NZ_AP017973.1,prokaryote,7.01E-06,140.2737774
NZ_AP017975.1,prokaryote,1.71E-05,342.9188478
NZ_AP018033.1,prokaryote,6.78E-07,13.55897673
NZ_AP018034.1,prokaryote,4.44E-07,8.874966586
NZ_AP018035.1,prokaryote,3.51E-07,7.026015214
NZ_AP018036.1,prokaryote,3.57E-07,7.149278639
NZ_AP018042.1,prokaryote,0.000259186,5183.720067
NZ_AP018045.1,prokaryote,4.56E-05,912.8889241
NZ_AP018046.1,prokaryote,2.01E-05,401.7155015
NZ_AP018052.1,prokaryote,3.06E-05,612.6192213
NZ_AP018111.1,prokaryote,9.23E-06,184.6486104
NZ_AP018112.1,prokaryote,9.01E-06,180.2111271
NZ_AP018113.1,prokaryote,4.28E-06,85.54481682
NZ_AP018164.1,prokaryote,2.52E-05,504.7637246
NZ_AP018165.1,prokaryote,2.56E-05,511.4199495
NZ_AP018172.1,prokaryote,0.000222792,4455.849543
NZ_AP018203.1,prokaryote,0.000104866,2097.327173
NZ_AP018254.1,prokaryote,0.00019218,3843.600112
NZ_AP018255.1,prokaryote,0.000346734,6934.677016
NZ_AP018280.1,prokaryote,0.000240783,4815.655481
NZ_AP018281.1,prokaryote,0.000147004,2940.079209
NZ_AP018338.1,prokaryote,3.77E-05,754.0023696
NZ_CP001973.1,prokaryote,3.71E-05,741.6760271
NZ_CP003560.1,prokaryote,0.000301884,6037.689074
NZ_CP003561.1,prokaryote,0.000110389,2207.771202
NZ_CP004021.1,prokaryote,4.05E-05,810.9500718
NZ_CP004046.1,prokaryote,5.61E-06,112.1697166
NZ_CP004062.1,prokaryote,5.58E-06,111.5533995
NZ_CP005083.1,prokaryote,3.70E-05,740.5666563
NZ_CP005084.1,prokaryote,1.00E-05,200.1798019
NZ_CP005188.1,prokaryote,2.68E-05,536.6889516
NZ_CP005189.1,prokaryote,6.14E-06,122.8936345
NZ_CP005970.1,prokaryote,3.09E-05,617.7962852
NZ_CP006058.1,prokaryote,1.13E-05,225.5720674
NZ_CP006367.1,prokaryote,2.30E-05,459.1562574
NZ_CP006632.1,prokaryote,6.80E-06,135.9595576
NZ_CP006636.1,prokaryote,1.19E-06,23.78984099
NZ_CP006748.1,prokaryote,1.25E-05,250.4712792
NZ_CP006751.1,prokaryote,1.26E-05,252.1969672
NZ_CP006754.1,prokaryote,1.31E-05,261.0719337
NZ_CP006758.1,prokaryote,1.23E-05,245.0476885
NZ_CP006762.1,prokaryote,1.23E-05,245.0476885
NZ_CP006783.1,prokaryote,1.21E-05,241.2265224
NZ_CP006792.1,prokaryote,1.23E-05,246.0337959
NZ_CP006803.1,prokaryote,6.88E-05,1376.852455
NZ_CP006804.1,prokaryote,1.68E-05,335.5230423
NZ_CP006830.1,prokaryote,2.24E-06,44.86788663
NZ_CP006834.1,prokaryote,3.47E-06,69.39730817
NZ_CP006841.1,prokaryote,2.96E-05,591.9109659
NZ_CP006867.1,prokaryote,3.61E-05,722.0771425
NZ_CP006870.1,prokaryote,1.54E-05,308.2818255
NZ_CP006911.1,prokaryote,5.74E-05,1147.582485
NZ_CP006947.1,prokaryote,5.50E-06,110.0742384
NZ_CP006948.1,prokaryote,1.00E-06,20.09193824
NZ_CP006960.1,prokaryote,9.59E-06,191.797889
NZ_CP006976.1,prokaryote,1.20E-05,239.9938881
NZ_CP006992.1,prokaryote,3.21E-05,641.2163359
NZ_CP007007.1,prokaryote,3.09E-06,61.75497583
NZ_CP007008.1,prokaryote,3.26E-06,65.20635172
NZ_CP007009.1,prokaryote,3.22E-06,64.34350775
NZ_CP007010.1,prokaryote,3.64E-06,72.72542064
NZ_CP007011.1,prokaryote,2.67E-06,53.49632637
NZ_CP007017.1,prokaryote,3.70E-06,74.08131831
NZ_CP007018.1,prokaryote,3.45E-06,68.90425447
NZ_CP007019.1,prokaryote,3.04E-06,60.89213186
NZ_CP007020.1,prokaryote,3.51E-06,70.13688872
NZ_CP007021.1,prokaryote,3.48E-06,69.64383502
NZ_CP007040.1,prokaryote,1.55E-05,309.2679328
NZ_CP007121.1,prokaryote,5.71E-05,1141.542577
NZ_CP007131.1,prokaryote,1.65E-06,33.03459785
NZ_CP007158.1,prokaryote,1.42E-05,284.8617747
NZ_CP007159.1,prokaryote,1.35E-05,270.8097443
NZ_CP007167.1,prokaryote,4.33E-06,86.53092422
NZ_CP007168.1,prokaryote,5.42E-06,108.4718138
NZ_CP007169.1,prokaryote,5.34E-06,106.7461259
NZ_CP007170.1,prokaryote,4.06E-06,81.23059695
NZ_CP007171.1,prokaryote,4.25E-06,85.05176312
NZ_CP007188.1,prokaryote,4.67E-06,93.31041258
NZ_CP007189.1,prokaryote,7.78E-06,155.5584421
NZ_CP007190.1,prokaryote,8.23E-06,164.5566721
NZ_CP007191.1,prokaryote,3.59E-06,71.73931324
NZ_CP007192.1,prokaryote,3.40E-06,68.0414105
NZ_CP007193.1,prokaryote,3.69E-06,73.83479146
NZ_CP007194.1,prokaryote,3.04E-06,60.76886843
NZ_CP007195.1,prokaryote,3.27E-06,65.45287857
NZ_CP007196.1,prokaryote,4.04E-06,80.73754325
NZ_CP007197.1,prokaryote,5.10E-06,101.9388523
NZ_CP007198.1,prokaryote,4.75E-06,94.9128371
NZ_CP007199.1,prokaryote,3.69E-06,73.71152804
NZ_CP007200.1,prokaryote,4.16E-06,83.20281175
NZ_CP007204.1,prokaryote,3.71E-05,741.7992905
NZ_CP007205.2,prokaryote,1.72E-05,343.7816918
NZ_CP007212.1,prokaryote,2.00E-05,400.7293941
NZ_CP007213.1,prokaryote,1.71E-05,342.672321
NZ_CP007220.1,prokaryote,2.01E-05,401.7155015
NZ_CP007223.1,prokaryote,5.38E-05,1076.582752
NZ_CP007255.1,prokaryote,2.06E-05,412.9324731
NZ_CP007275.1,prokaryote,2.56E-06,51.1543213
NZ_CP007389.1,prokaryote,0.000113409,2268.17028
NZ_CP007440.1,prokaryote,6.92E-05,1384.124997
NZ_CP007442.1,prokaryote,2.62E-06,52.38695554
NZ_CP007459.1,prokaryote,4.20E-06,83.9423923
NZ_CP007460.1,prokaryote,4.59E-06,91.70798806
NZ_CP007461.1,prokaryote,4.31E-06,86.28439737
NZ_CP007462.1,prokaryote,4.27E-06,85.42155339
NZ_CP007491.1,prokaryote,3.28E-06,65.576142
NZ_CP007504.1,prokaryote,4.29E-05,858.1599635
NZ_CP007525.1,prokaryote,4.18E-06,83.69586545
NZ_CP007526.1,prokaryote,4.69E-06,93.80346628
NZ_CP007560.1,prokaryote,7.80E-06,156.0514958
NZ_CP007561.1,prokaryote,6.08E-06,121.6610003
NZ_CP007562.1,prokaryote,5.01E-06,100.2131644
NZ_CP007589.1,prokaryote,1.08E-05,215.0946763
NZ_CP007590.1,prokaryote,1.18E-05,236.9123025
NZ_CP007591.1,prokaryote,1.21E-05,241.2265224
NZ_CP007657.1,prokaryote,2.02E-06,40.43040334
NZ_CP007667.1,prokaryote,3.82E-06,76.30005996
NZ_CP007668.1,prokaryote,3.80E-06,75.93026968
NZ_CP007670.1,prokaryote,2.28E-06,45.60746718
NZ_CP007672.1,prokaryote,2.37E-06,47.45641855
NZ_CP007674.1,prokaryote,1.97E-06,39.44429594
NZ_CP007676.1,prokaryote,2.03E-06,40.55366676
NZ_CP007684.1,prokaryote,6.22E-06,124.3727956
NZ_CP007685.1,prokaryote,6.56E-06,131.2755474
NZ_CP007686.1,prokaryote,4.06E-06,81.10733353
NZ_CP007687.1,prokaryote,4.36E-06,87.14724134
NZ_CP007688.1,prokaryote,4.49E-06,89.85903669
NZ_CP007689.1,prokaryote,7.77E-06,155.4351787
NZ_CP007749.1,prokaryote,5.30E-06,106.0065453
NZ_CP007810.1,prokaryote,1.26E-05,251.3341232
NZ_CP008697.1,prokaryote,2.72E-06,54.35917034
NZ_CP008714.1,prokaryote,1.58E-05,315.1845772
NZ_CP008742.1,prokaryote,2.85E-05,570.5863934
NZ_CP008743.1,prokaryote,6.43E-05,1285.760784
NZ_CP008744.1,prokaryote,3.82E-07,7.642332338
NZ_CP008746.1,prokaryote,0.000197376,3947.51118
NZ_CP008750.1,prokaryote,9.00E-07,17.99646002
NZ_CP008751.1,prokaryote,4.62E-07,9.244756861
NZ_CP008774.1,prokaryote,9.37E-07,18.73604057
NZ_CP008775.1,prokaryote,7.64E-07,15.28466468
NZ_CP008776.1,prokaryote,6.95E-06,138.9178798
NZ_CP008813.1,prokaryote,7.64E-06,152.7233833
NZ_CP008821.1,prokaryote,4.30E-06,85.91460709
NZ_CP008836.1,prokaryote,3.40E-06,68.0414105
NZ_CP008837.1,prokaryote,3.21E-06,64.22024433
NZ_CP008856.2,prokaryote,2.51E-06,50.29147732
NZ_CP008857.1,prokaryote,4.83E-06,96.51526163
NZ_CP008858.2,prokaryote,2.96E-06,59.16644391
NZ_CP008859.2,prokaryote,1.51E-05,301.9953908
NZ_CP008860.2,prokaryote,2.93E-06,58.67339021
NZ_CP008861.1,prokaryote,4.54E-06,90.72188066
NZ_CP008862.2,prokaryote,1.96E-06,39.19776909
NZ_CP008863.1,prokaryote,2.36E-06,47.2098917
NZ_CP008864.2,prokaryote,2.90E-06,57.93380966
NZ_CP008865.2,prokaryote,2.29E-06,45.7307306
NZ_CP008866.2,prokaryote,3.69E-06,73.71152804
NZ_CP008867.1,prokaryote,2.86E-06,57.19422911
NZ_CP008868.1,prokaryote,3.00E-06,60.02928788
NZ_CP008869.2,prokaryote,5.62E-06,112.4162434
NZ_CP008870.2,prokaryote,2.90E-06,58.05707309
NZ_CP008871.2,prokaryote,5.08E-06,101.6923255
NZ_CP008872.2,prokaryote,1.87E-06,37.47208114
NZ_CP008873.1,prokaryote,3.99E-06,79.87469928
NZ_CP008886.1,prokaryote,1.74E-05,347.2330677
NZ_CP008925.1,prokaryote,2.39E-06,47.82620883
NZ_CP008934.1,prokaryote,2.99E-05,598.5671909
NZ_CP009108.1,prokaryote,2.74E-05,547.9059233
NZ_CP009111.1,prokaryote,4.01E-05,802.3216321
NZ_CP009220.1,prokaryote,2.93E-05,586.6106387
NZ_CP009230.1,prokaryote,5.43E-05,1085.211192
NZ_CP009236.1,prokaryote,4.63E-06,92.57083203
NZ_CP009240.1,prokaryote,7.49E-05,1497.773875
NZ_CP009242.1,prokaryote,3.33E-05,665.9922843
NZ_CP009243.1,prokaryote,2.53E-07,5.053800417
NZ_CP009244.1,prokaryote,2.01E-05,402.3318186
NZ_CP009245.1,prokaryote,2.95E-05,590.0620146
NZ_CP009246.1,prokaryote,2.67E-05,534.7167368
NZ_CP009247.1,prokaryote,1.85E-05,369.2972207
NZ_CP009248.1,prokaryote,1.15E-05,230.1328141
NZ_CP009249.1,prokaryote,4.43E-05,886.0174975
NZ_CP009251.1,prokaryote,2.03E-05,405.6599311
NZ_CP009253.1,prokaryote,3.78E-05,756.0978478
NZ_CP009259.1,prokaryote,8.63E-06,172.5687947
NZ_CP009312.1,prokaryote,1.20E-05,239.5008344
NZ_CP009360.2,prokaryote,6.88E-06,137.5619821
NZ_CP009423.1,prokaryote,2.35E-06,46.96336485
NZ_CP009429.1,prokaryote,1.89E-05,378.5419776
NZ_CP009452.1,prokaryote,3.71E-05,742.6621345
NZ_CP009456.1,prokaryote,8.33E-05,1666.891294
NZ_CP009470.1,prokaryote,3.40E-05,679.1814707
NZ_CP009471.1,prokaryote,0.000147509,2950.186809
NZ_CP009498.1,prokaryote,6.84E-05,1367.977489
NZ_CP009557.1,prokaryote,8.35E-05,1670.835723
NZ_CP009623.1,prokaryote,9.99E-05,1997.237272
NZ_CP009625.1,prokaryote,9.98E-07,19.96867482
NZ_CP009626.1,prokaryote,8.51E-07,17.01035262
NZ_CP009653.1,prokaryote,2.65E-05,529.9094633
NZ_CP009654.1,prokaryote,8.75E-05,1750.587159
NZ_CP009676.1,prokaryote,3.14E-05,627.5340957
NZ_CP009682.1,prokaryote,2.31E-05,461.2517356
NZ_CP009687.1,prokaryote,0.000187847,3756.945925
NZ_CP009725.1,prokaryote,1.17E-06,23.42005071
NZ_CP009726.1,prokaryote,4.99E-07,9.98433741
NZ_CP009727.1,prokaryote,6.78E-07,13.55897673
NZ_CP009728.1,prokaryote,4.99E-07,9.98433741
NZ_CP009729.1,prokaryote,1.10E-06,21.94088962
NZ_CP009730.1,prokaryote,4.87E-07,9.73781056
NZ_CP009731.1,prokaryote,9.80E-07,19.59888454
NZ_CP009732.1,prokaryote,5.05E-07,10.10760083
NZ_CP009733.1,prokaryote,9.89E-06,197.8377968
NZ_CP009734.1,prokaryote,5.92E-07,11.83328878
NZ_CP009735.1,prokaryote,8.57E-07,17.13361605
NZ_CP009736.1,prokaryote,5.05E-07,10.10760083
NZ_CP009737.1,prokaryote,1.89E-06,37.71860799
NZ_CP009738.1,prokaryote,5.49E-07,10.97044481
NZ_CP009739.1,prokaryote,1.21E-06,24.28289469
NZ_CP009740.1,prokaryote,4.38E-07,8.751703162
NZ_CP009741.1,prokaryote,8.01E-07,16.02424523
NZ_CP009742.1,prokaryote,6.16E-07,12.32634248
NZ_CP009743.1,prokaryote,1.06E-05,212.1363541
NZ_CP009744.1,prokaryote,1.48E-05,295.5856927
NZ_CP009745.1,prokaryote,7.54E-06,150.874432
NZ_CP009762.1,prokaryote,2.93E-05,585.1314776
NZ_CP009764.1,prokaryote,5.56E-06,111.1836092
NZ_CP009765.1,prokaryote,1.47E-05,294.9693756
NZ_CP009766.1,prokaryote,6.16E-06,123.2634248
NZ_CP009768.1,prokaryote,1.29E-06,25.88531921
NZ_CP009769.1,prokaryote,3.89E-05,777.7922106
NZ_CP009790.1,prokaryote,7.40E-06,147.9161098
NZ_CP009802.1,prokaryote,3.40E-05,679.551261
NZ_CP009823.1,prokaryote,7.59E-06,151.7372759
NZ_CP009826.1,prokaryote,8.18E-06,163.6938281
NZ_CP009828.1,prokaryote,5.86E-06,117.223517
NZ_CP009829.1,prokaryote,8.75E-06,174.9107998
NZ_CP009847.1,prokaryote,2.08E-05,416.7536393
NZ_CP009848.1,prokaryote,1.32E-05,263.167412
NZ_CP009885.1,prokaryote,8.98E-06,179.5948099
NZ_CP009928.1,prokaryote,0.000327782,6555.641985
NZ_CP009929.1,prokaryote,7.89E-07,15.77771838
NZ_CP009930.1,prokaryote,4.75E-07,9.49128371
NZ_CP009931.1,prokaryote,8.63E-07,17.25687947
NZ_CP009932.1,prokaryote,5.73E-07,11.46349851
NZ_CP009977.1,prokaryote,2.57E-05,513.0223741
NZ_CP009978.1,prokaryote,1.37E-05,274.6309105
NZ_CP009982.1,prokaryote,1.16E-05,231.9817655
NZ_CP009983.1,prokaryote,5.65E-06,113.0325606
NZ_CP009984.1,prokaryote,1.31E-05,261.0719337
NZ_CP009985.1,prokaryote,1.88E-05,375.8301822
NZ_CP010051.1,prokaryote,7.62E-06,152.3535931
NZ_CP010071.1,prokaryote,2.27E-05,453.239613
NZ_CP010106.1,prokaryote,2.72E-05,544.9476011
NZ_CP010116.1,prokaryote,2.24E-06,44.74462321
NZ_CP010117.1,prokaryote,8.38E-06,167.6382577
NZ_CP010119.1,prokaryote,3.51E-06,70.13688872
NZ_CP010121.1,prokaryote,5.39E-06,107.7322333
NZ_CP010122.1,prokaryote,1.10E-05,220.7647938
NZ_CP010125.1,prokaryote,2.82E-06,56.45464856
NZ_CP010129.1,prokaryote,2.78E-06,55.59180459
NZ_CP010132.1,prokaryote,1.00E-05,200.5495922
NZ_CP010133.1,prokaryote,9.98E-06,199.5634848
NZ_CP010134.1,prokaryote,2.17E-06,43.38872553
NZ_CP010137.1,prokaryote,1.76E-06,35.2533395
NZ_CP010140.1,prokaryote,3.01E-06,60.15255131
NZ_CP010143.1,prokaryote,2.57E-06,51.40084815
NZ_CP010145.1,prokaryote,2.03E-06,40.55366676
NZ_CP010148.1,prokaryote,2.81E-06,56.20812171
NZ_CP010150.1,prokaryote,4.41E-06,88.25661216
NZ_CP010151.1,prokaryote,4.88E-06,97.50136903
NZ_CP010152.1,prokaryote,1.11E-06,22.18741647
NZ_CP010157.1,prokaryote,5.48E-06,109.5811847
NZ_CP010160.1,prokaryote,4.67E-06,93.43367601
NZ_CP010163.1,prokaryote,2.50E-06,49.92168705
NZ_CP010167.1,prokaryote,2.29E-06,45.7307306
NZ_CP010169.1,prokaryote,2.45E-06,49.05884307
NZ_CP010170.1,prokaryote,2.35E-06,46.96336485
NZ_CP010171.1,prokaryote,2.87E-06,57.44075596
NZ_CP010172.1,prokaryote,2.63E-06,52.63348239
NZ_CP010176.1,prokaryote,2.35E-06,46.96336485
NZ_CP010177.1,prokaryote,2.95E-06,58.91991706
NZ_CP010178.1,prokaryote,3.89E-06,77.77922106
NZ_CP010180.1,prokaryote,2.55E-06,51.03105787
NZ_CP010183.1,prokaryote,2.48E-06,49.6751602
NZ_CP010186.1,prokaryote,3.53E-06,70.50667899
NZ_CP010191.1,prokaryote,2.22E-06,44.49809636
NZ_CP010196.1,prokaryote,3.42E-06,68.41120077
NZ_CP010200.1,prokaryote,3.54E-06,70.87646927
NZ_CP010206.1,prokaryote,3.02E-06,60.39907816
NZ_CP010213.1,prokaryote,2.87E-06,57.31749254
NZ_CP010219.1,prokaryote,6.57E-06,131.3988108
NZ_CP010221.1,prokaryote,2.82E-06,56.45464856
NZ_CP010226.1,prokaryote,2.99E-06,59.78276103
NZ_CP010228.1,prokaryote,2.28E-06,45.60746718
NZ_CP010229.1,prokaryote,4.71E-06,94.17325656
NZ_CP010230.1,prokaryote,3.16E-06,63.1108735
NZ_CP010231.1,prokaryote,2.06E-06,41.29324731
NZ_CP010235.1,prokaryote,2.38E-06,47.57968198
NZ_CP010236.1,prokaryote,3.03E-06,60.52234158
NZ_CP010237.1,prokaryote,4.81E-06,96.26873478
NZ_CP010238.1,prokaryote,8.91E-06,178.2389123
NZ_CP010240.1,prokaryote,3.27E-06,65.45287857
NZ_CP010242.1,prokaryote,2.96E-06,59.16644391
NZ_CP010249.1,prokaryote,1.36E-07,2.711795346
NZ_CP010250.1,prokaryote,1.23E-07,2.465268496
NZ_CP010251.1,prokaryote,1.48E-07,2.958322195
NZ_CP010252.1,prokaryote,1.73E-07,3.451375895
NZ_CP010253.1,prokaryote,1.60E-07,3.204849045
NZ_CP010254.1,prokaryote,1.60E-07,3.204849045
NZ_CP010255.1,prokaryote,7.40E-08,1.479161098
NZ_CP010256.1,prokaryote,9.86E-08,1.972214797
NZ_CP010257.1,prokaryote,1.73E-07,3.451375895
NZ_CP010258.1,prokaryote,8.63E-08,1.725687947
NZ_CP010259.1,prokaryote,1.66E-07,3.32811247
NZ_CP010260.1,prokaryote,1.48E-07,2.958322195
NZ_CP010261.1,prokaryote,1.60E-07,3.204849045
NZ_CP010262.1,prokaryote,9.24E-08,1.848951372
NZ_CP010263.1,prokaryote,1.97E-07,3.944429594
NZ_CP010264.1,prokaryote,1.11E-07,2.218741647
NZ_CP010265.1,prokaryote,1.60E-07,3.204849045
NZ_CP010266.1,prokaryote,1.85E-07,3.697902744
NZ_CP010271.1,prokaryote,2.78E-05,555.1784653
NZ_CP010309.1,prokaryote,3.35E-05,669.5669236
NZ_CP010319.1,prokaryote,7.08E-06,141.5064117
NZ_CP010330.1,prokaryote,4.99E-07,9.98433741
NZ_CP010337.1,prokaryote,3.57E-07,7.149278639
NZ_CP010339.1,prokaryote,2.96E-07,5.916644391
NZ_CP010348.1,prokaryote,1.66E-06,33.2811247
NZ_CP010349.1,prokaryote,4.99E-07,9.98433741
NZ_CP010350.1,prokaryote,7.35E-05,1469.423287
NZ_CP010401.1,prokaryote,4.25E-05,849.4082604
NZ_CP010402.1,prokaryote,1.45E-05,290.162102
NZ_CP010411.1,prokaryote,1.93E-05,386.3075734
NZ_CP010412.1,prokaryote,1.53E-05,305.4467667
NZ_CP010413.1,prokaryote,6.16E-06,123.2634248
NZ_CP010423.1,prokaryote,7.80E-05,1560.145168
NZ_CP010449.1,prokaryote,3.34E-05,668.5808162
NZ_CP010450.1,prokaryote,5.99E-06,119.8120489
NZ_CP010453.1,prokaryote,1.66E-05,332.5647201
NZ_CP010457.1,prokaryote,3.37E-06,67.30182995
NZ_CP010458.1,prokaryote,2.27E-06,45.48420376
NZ_CP010459.1,prokaryote,2.22E-06,44.49809636
NZ_CP010460.1,prokaryote,2.22E-06,44.49809636
NZ_CP010461.1,prokaryote,2.85E-06,57.07096569
NZ_CP010462.1,prokaryote,2.62E-06,52.38695554
NZ_CP010463.1,prokaryote,2.40E-06,47.94947225
NZ_CP010464.1,prokaryote,2.57E-06,51.40084815
NZ_CP010465.1,prokaryote,1.97E-06,39.32103251
NZ_CP010466.1,prokaryote,2.43E-06,48.56578938
NZ_CP010467.1,prokaryote,2.47E-06,49.30536992
NZ_CP010468.1,prokaryote,2.21E-06,44.12830608
NZ_CP010469.1,prokaryote,2.43E-06,48.56578938
NZ_CP010470.1,prokaryote,2.16E-06,43.26546211
NZ_CP010471.1,prokaryote,2.72E-06,54.48243377
NZ_CP010472.1,prokaryote,4.01E-06,80.12122613
NZ_CP010473.1,prokaryote,2.48E-06,49.55189677
NZ_CP010474.1,prokaryote,2.42E-06,48.31926253
NZ_CP010475.1,prokaryote,2.99E-06,59.78276103
NZ_CP010476.1,prokaryote,3.88E-06,77.65595763
NZ_CP010477.1,prokaryote,2.93E-06,58.55012679
NZ_CP010479.1,prokaryote,2.85E-06,57.07096569
NZ_CP010480.1,prokaryote,3.46E-06,69.15078132
NZ_CP010481.1,prokaryote,2.21E-06,44.25156951
NZ_CP010482.1,prokaryote,2.67E-06,53.37306294
NZ_CP010483.1,prokaryote,2.05E-06,41.04672046
NZ_CP010484.1,prokaryote,2.39E-06,47.7029454
NZ_CP010485.1,prokaryote,2.68E-06,53.61958979
NZ_CP010486.1,prokaryote,2.21E-06,44.12830608
NZ_CP010487.1,prokaryote,2.49E-06,49.79842362
NZ_CP010488.1,prokaryote,2.40E-06,47.94947225
NZ_CP010489.1,prokaryote,3.78E-06,75.56047941
NZ_CP010490.1,prokaryote,2.24E-06,44.86788663
NZ_CP010491.1,prokaryote,2.26E-06,45.23767691
NZ_CP010492.1,prokaryote,2.71E-06,54.23590692
NZ_CP010493.1,prokaryote,2.83E-06,56.57791199
NZ_CP010494.1,prokaryote,2.14E-06,42.89567183
NZ_CP010495.1,prokaryote,2.56E-06,51.27758472
NZ_CP010496.1,prokaryote,2.59E-06,51.77063842
NZ_CP010497.1,prokaryote,2.55E-06,51.03105787
NZ_CP010498.1,prokaryote,2.14E-06,42.89567183
NZ_CP010499.1,prokaryote,2.34E-06,46.84010143
NZ_CP010500.1,prokaryote,2.96E-06,59.16644391
NZ_CP010501.1,prokaryote,3.08E-06,61.63171241
NZ_CP010502.1,prokaryote,2.31E-06,46.2237843
NZ_CP010503.1,prokaryote,1.86E-06,37.22555429
NZ_CP010504.1,prokaryote,2.29E-06,45.85399403
NZ_CP010505.1,prokaryote,2.42E-06,48.44252595
NZ_CP010506.1,prokaryote,2.30E-06,45.97725745
NZ_CP010507.1,prokaryote,2.67E-06,53.37306294
NZ_CP010508.1,prokaryote,3.93E-06,78.5188016
NZ_CP010509.1,prokaryote,2.34E-06,46.84010143
NZ_CP010510.1,prokaryote,2.39E-06,47.7029454
NZ_CP010511.1,prokaryote,2.05E-06,41.04672046
NZ_CP010516.1,prokaryote,1.93E-05,386.0610465
NZ_CP010517.1,prokaryote,1.10E-05,219.0391059
NZ_CP010522.1,prokaryote,6.80E-05,1360.704946
NZ_CP010535.1,prokaryote,0.000121981,2439.629704
NZ_CP010538.1,prokaryote,1.87E-06,37.34881772
NZ_CP010539.1,prokaryote,1.47E-06,29.3366951
NZ_CP010540.1,prokaryote,1.50E-06,29.95301223
NZ_CP010541.1,prokaryote,1.47E-06,29.45995853
NZ_CP010542.1,prokaryote,1.68E-06,33.52765155
NZ_CP010543.1,prokaryote,1.80E-06,35.99292004
NZ_CP010544.1,prokaryote,1.53E-06,30.56932935
NZ_CP010545.1,prokaryote,1.93E-06,38.58145197
NZ_CP010546.1,prokaryote,1.54E-06,30.8158562
NZ_CP010547.1,prokaryote,1.55E-06,30.93911963
