NCBI accession number,name of host,genus,family,order,class,phylum,domain
JTMG01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFG01,Acinetobacter baumannii 1287985,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFE01,Acinetobacter baumannii 73736,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHY01,Mycobacterium tuberculosis XTB13-229,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXQ01,Staphylococcus aureus M1376,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXP01,Staphylococcus aureus M1381,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHX01,Mycobacterium tuberculosis XTB13-230,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTME01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFF01,Acinetobacter baumannii 10519,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFD01,Acinetobacter baumannii 846928,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTMD01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHW01,Mycobacterium tuberculosis XTB13-231,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXO01,Staphylococcus aureus M1389,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXN01,Staphylococcus aureus M1399,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHV01,Mycobacterium tuberculosis XTB13-232,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTMC01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFC01,Acinetobacter baumannii 1045092,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFB01,Acinetobacter baumannii 923118,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHU01,Mycobacterium tuberculosis XTB13-233,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXM01,Staphylococcus aureus M1426,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXL01,Staphylococcus aureus M1427,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHT01,Mycobacterium tuberculosis XTB13-234,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRF01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFA01,Acinetobacter baumannii 836190,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEZ01,Acinetobacter baumannii 825610,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHS01,Mycobacterium tuberculosis XTB13-235,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXK01,Staphylococcus aureus M1439,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXJ01,Staphylococcus aureus M1440,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHR01,Mycobacterium tuberculosis XTB13-237,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JFEY01,Acinetobacter baumannii 737393,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEX01,Acinetobacter baumannii 723929,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTRD01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHQ01,Mycobacterium tuberculosis XTB13-238,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXI01,Staphylococcus aureus M1442,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXH01,Staphylococcus aureus M1114,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHP01,Mycobacterium tuberculosis XTB13-239,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRY01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEW01,Acinetobacter baumannii 655555,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEV01,Acinetobacter baumannii 694762,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTRJ01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHO01,Mycobacterium tuberculosis XTB13-240,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXG01,Staphylococcus aureus M1125,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXF01,Staphylococcus aureus M1131,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHN01,Mycobacterium tuberculosis XTB13-241,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTSI01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEU01,Acinetobacter baumannii 480175,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIR01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JFET01,Acinetobacter baumannii 457946,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTNN01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHM01,Mycobacterium tuberculosis XTB13-242,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXE01,Staphylococcus aureus M1134,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXD01,Staphylococcus aureus M1135,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHL01,Mycobacterium tuberculosis XTB13-244,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRV01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFES01,Acinetobacter baumannii 607805,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIS01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIT01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JFER01,Acinetobacter baumannii 3390,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTRK01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHK01,Mycobacterium tuberculosis XTB13-245,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXC01,Staphylococcus aureus M1155,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAXB01,Staphylococcus aureus M1163,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHJ01,Mycobacterium tuberculosis XTB13-246,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JFEQ01,Acinetobacter baumannii 318814,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIU01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIV01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEG02,Acinetobacter baumannii 1457504,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTSH01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHI01,Mycobacterium tuberculosis XTB13-247,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAXA01,Staphylococcus aureus M1175,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWZ01,Staphylococcus aureus M1176,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHH01,Mycobacterium tuberculosis XTB13-249,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRU01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEP01,Acinetobacter baumannii 2887,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIW01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIX01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEF01,Acinetobacter baumannii 1412924,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTSC01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHG01,Mycobacterium tuberculosis XTB13-250,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWY01,Staphylococcus aureus M1177,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHF01,Mycobacterium tuberculosis XTB13-251,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRL01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFFU01,Acinetobacter baumannii 1296252,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CCIY01,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEE01,Acinetobacter baumannii 1293320,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTSB01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHE01,Mycobacterium tuberculosis XTB13-252,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWW01,Staphylococcus aureus M1184,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWV01,Staphylococcus aureus M1194,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHD01,Mycobacterium tuberculosis XTB13-253,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRH01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFED01,Acinetobacter baumannii 1264936,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEC01,Acinetobacter baumannii 1207552,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHC01,Mycobacterium tuberculosis XTB13-255,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWU01,Staphylococcus aureus M1196,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWT01,Staphylococcus aureus M1240,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLHB01,Mycobacterium tuberculosis XTB13-256,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRB01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEB02,Acinetobacter baumannii 1195185_11,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEA01,Acinetobacter baumannii 1237893,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTNM01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLHA01,Mycobacterium tuberculosis XTB13-262,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWS01,Staphylococcus aureus M1287,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLGZ01,Mycobacterium tuberculosis XTB13-265,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTSE01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDZ01,Acinetobacter baumannii 1271651,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDY01,Acinetobacter baumannii 1245249,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTRZ01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLGY01,Mycobacterium tuberculosis XTB13-278,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWQ01,Staphylococcus aureus M1299,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWP01,Staphylococcus aureus M1300,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLGX01,Mycobacterium tuberculosis XTB13-290,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTQZ01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDX01,Acinetobacter baumannii 1271213,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDW01,Acinetobacter baumannii 1245593,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTQU01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLGW01,Mycobacterium tuberculosis XTB13-299,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWO01,Staphylococcus aureus M1342,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLMX01,Mycobacterium tuberculosis UT0117,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTSD01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDV01,Acinetobacter baumannii 1188188,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDU01,Acinetobacter baumannii 1178044,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTRI01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMW01,Mycobacterium tuberculosis UT0006,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWM01,Staphylococcus aureus M1475,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWL01,Staphylococcus aureus M1479,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLMV01,Mycobacterium tuberculosis UT0014,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTRG01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDT01,Acinetobacter baumannii 1095464,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDS01,Acinetobacter baumannii 1064293_45,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMU01,Mycobacterium tuberculosis UT0028,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWK01,Staphylococcus aureus M1480,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWJ01,Staphylococcus aureus M1485,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLMT01,Mycobacterium tuberculosis UT0032,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JFDR01,Acinetobacter baumannii 1062314,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDQ01,Acinetobacter baumannii 1022959,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTVE01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMQ01,Mycobacterium tuberculosis UT0054,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWI01,Staphylococcus aureus M1486,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWH01,Staphylococcus aureus M1492,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLMP01,Mycobacterium tuberculosis UT0073,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTVF01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEK01,Acinetobacter baumannii 1482820,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEH01,Acinetobacter baumannii 1471012,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTVA01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMO01,Mycobacterium tuberculosis UT0074,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JAWG01,Staphylococcus aureus M1499,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAWF01,Staphylococcus aureus M1502,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLMN01,Mycobacterium tuberculosis UT0098,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTVB01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEM01,Acinetobacter baumannii 216872,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTUZ01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMM01,Mycobacterium tuberculosis UT0101,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JBOJ01,Staphylococcus aureus SJOS6050,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JBOH01,Staphylococcus aureus SJOS6052,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JLML01,Mycobacterium tuberculosis UT0103,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTUY01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEJ01,Acinetobacter baumannii 1475764,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEI01,Acinetobacter baumannii 1533268,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTUX01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JLMK01,Mycobacterium tuberculosis UT0119,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JBOG01,Staphylococcus aureus LAMC0024,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JKBU01,Mycobacterium tuberculosis 2233BH,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JFEO01,Acinetobacter baumannii 273929,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFEN01,Acinetobacter baumannii 23671,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTUV01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JBOC01,Staphylococcus aureus AMMC6040,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JBOB01,Staphylococcus aureus SJOS6071,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JJUB01,Mycobacterium tuberculosis TKK_04_0125,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTXV01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JABT01,Acinetobacter baumannii MRSN 57,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JABU01,Acinetobacter baumannii MRSN 58,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTXW01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JJUA01,Mycobacterium tuberculosis TKK_04_0126,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JBNZ01,Staphylococcus aureus AMMC6051,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JBNY01,Staphylococcus aureus GGMC6010,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JJTZ01,Mycobacterium tuberculosis TKK_04_0129,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTXU01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFXU01,Acinetobacter baumannii 145660,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFXT01,Acinetobacter baumannii 1494580,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTXS01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JJTY01,Mycobacterium tuberculosis TKK_04_0130,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JBNX01,Staphylococcus aureus CHAP6049,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JBNW01,Staphylococcus aureus PLAC6012,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JJTX01,Mycobacterium tuberculosis TKK_04_0131,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JTXT01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFXF01,Acinetobacter baumannii 1294222,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFXY01,Acinetobacter baumannii 755829,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JTXQ01,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JJTW01,Mycobacterium tuberculosis TKK_04_0132,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JBNT01,Staphylococcus aureus WMCS6011,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JJTV01,Mycobacterium tuberculosis TKK_04_0134,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JFXR01,Acinetobacter baumannii 214216,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFXA01,Acinetobacter baumannii 1266220,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JJTU01,Mycobacterium tuberculosis TKK_04_0136,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
