NCBI accession number,species,genus,family,order,class,phylum,domain
NZ_CP023505.1,Morganella morganii,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023511.1,Streptococcus gordonii,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP010784.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023518.1,Burkholderia cepacia,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023521.1,Burkholderia cepacia,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023520.1,Burkholderia cepacia,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023499.1,Burkholderia thailandensis,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023498.1,Burkholderia thailandensis,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023516.1,Pasteurella multocida,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
CP023502.1,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023500.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023508.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023512.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023535.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023531.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP023474.1,Brevibacillus brevis,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023483.1,Brochothrix thermosphacta,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP010673.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP010588.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP010636.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP021047.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP021040.1,Phaeobacter gallaeciensis,Phaeobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023445.1,Actinosynnema pretiosum,Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023449.1,Rhizorhabdus dicambivorans,Rhizorhabdus,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023454.1,Rhodobacteraceae bacterium QY30,NA,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023464.1,Pseudoalteromonas atlantica,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023465.1,Lysobacter capsici,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023439.1,Thauera sp. K11,Thauera,Zoogloeaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023466.1,Pseudomonas frederiksbergensis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023448.1,Helicobacter pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NZ_CP009725.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009726.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP010348.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP010349.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009727.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009728.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009929.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009930.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009729.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009730.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009731.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009732.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009733.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009734.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009735.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009736.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009737.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009738.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009739.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009740.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009741.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009742.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009931.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP009932.1,Burkholderia mallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023406.1,Luteimonas sp. 100111,Luteimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023422.1,Janthinobacterium svalbardensis,Janthinobacterium,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023415.1,Desulfovibrio sp. G11,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP018624.1,Clostridium chauvoei,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NZ_CP018630.1,Clostridium chauvoei,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NZ_CP023429.1,Neisseria sp. 10022,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023435.1,Mycobacterium sp. PYR15,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023423.1,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023431.1,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023541.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP017156.1,Macrococcus sp. IME1552,Macrococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_LT907978.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP017143.1,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023410.1,Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NZ_CP016987.1,Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP016988.1,Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP017232.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP017177.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP022168.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023392.1,Lactococcus raffinolactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023344.1,Verrucomicrobia bacterium,NA,NA,NA,NA,Verrucomicrobia,Bacteria
NZ_CP011041.1,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011042.1,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011011.1,Pseudoalteromonas agarivorans,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011012.1,Pseudoalteromonas agarivorans,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011025.1,Pseudoalteromonas arctica,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011026.1,Pseudoalteromonas arctica,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011039.1,Pseudoalteromonas spongiae,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011040.1,Pseudoalteromonas spongiae,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011032.1,Pseudoalteromonas tunicata,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011033.1,Pseudoalteromonas tunicata,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011030.1,Pseudoalteromonas issachenkonii,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011031.1,Pseudoalteromonas issachenkonii,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023402.1,Elizabethkingia anophelis,Elizabethkingia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP023299.1,Pseudomonas mosselii,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023275.1,Sulfurospirillum sp. JPD-1,Sulfurospirillum,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NZ_CP023313.2,Caulobacter vibrioides,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023315.2,Caulobacter vibrioides,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023314.2,Caulobacter vibrioides,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023310.1,Vibrio anguillarum,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023311.1,Vibrio anguillarum,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP017082.1,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP017085.1,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023404.1,Elizabethkingia anophelis,Elizabethkingia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP023403.1,Elizabethkingia anophelis,Elizabethkingia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP023320.1,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023395.1,Corynebacterium pseudotuberculosis,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023391.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023390.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023359.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023357.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023364.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023386.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023388.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023353.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023377.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023366.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023383.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023371.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_AP017968.1,Fusobacterium varium,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
NZ_CP022163.1,Melittangium boletus,Melittangium,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP022203.1,Myxococcus macrosporus,Myxococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP022098.1,Cystobacter fuscus,Cystobacter,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP022385.1,Capnocytophaga sputigena,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022384.1,Capnocytophaga leadbetteri,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022387.1,Capnocytophaga stomatis,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022386.1,Capnocytophaga gingivalis,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022388.1,Capnocytophaga canimorsus,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022378.1,Capnocytophaga cynodegmi,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022379.1,Capnocytophaga sputigena,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022380.1,Capnocytophaga sp. H4358,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022382.1,Capnocytophaga canimorsus,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022383.1,Capnocytophaga sputigena,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022389.1,Capnocytophaga canimorsus,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022381.1,Capnocytophaga sp. H2931,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP019485.1,Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP019488.1,Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023346.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023349.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP016552.1,Geobacillus stearothermophilus,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
CP021238.1,Mycobacterium lepraemurium,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023284.1,Variovorax boronicumulans,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP014136.1,Gibbsiella quercinecans,Gibbsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LT900217.1,Gordonibacter urolithinfaciens,Gordonibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
NZ_CP014137.1,Brenneria goodwinii,Brenneria,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023074.1,Enterococcus thailandicus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023173.1,Mesoplasma chauliocola,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
CP021173.1,Candidatus Nasuia deltocephalinicola,Candidatus Nasuia,NA,NA,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP023185.1,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023208.1,Vibrio anguillarum,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023209.1,Vibrio anguillarum,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023174.1,Lactobacillus plantarum,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023179.1,Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023257.1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP023166.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023401.1,Elizabethkingia anophelis,Elizabethkingia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP022537.1,Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP016769.1,Candidatus Planktophila lacus,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016770.1,Candidatus Planktophila dulcis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016771.1,Candidatus Nanopelagicus hibericus,Candidatus Nanopelagicus,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016773.1,Candidatus Planktophila sulfonica,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016774.1,Candidatus Planktophila versatilis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016776.1,Candidatus Planktophila vernalis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP022745.1,Sphingobium hydrophobicum,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP022746.1,Sphingobium hydrophobicum,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP016779.1,Candidatus Nanopelagicus abundans,Candidatus Nanopelagicus,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016782.1,Candidatus Planktophila limnetica,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP017482.1,Pectobacterium polaris,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP016768.2,Candidatus Nanopelagicus limnes,Candidatus Nanopelagicus,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023063.1,Sinorhizobium sp. CCBAU 05631,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP023067.1,Ensifer sojae,Ensifer,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP016772.1,Candidatus Planktophila dulcis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016780.1,Candidatus Planktophila lacus,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016775.1,Candidatus Planktophila versatilis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP006803.1,Lactobacillus gasseri,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP016777.1,Candidatus Planktophila dulcis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP021060.1,Taylorella equigenitalis,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP016778.1,Candidatus Planktophila versatilis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP016783.1,Candidatus Planktophila lacus,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023070.1,Sinorhizobium fredii,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP016781.1,Candidatus Planktophila versatilis,Candidatus Planktophila,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP021199.1,Taylorella equigenitalis,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP021200.1,Taylorella equigenitalis,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP021201.1,Taylorella equigenitalis,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP021246.1,Taylorella equigenitalis,Taylorella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP006804.1,Lactobacillus rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP021118.1,Streptomyces sp. CLI2509,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023155.1,Xanthomonas citri,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023159.1,Xanthomonas citri,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP016878.1,Xanthomonas hortorum,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP023147.1,Mycobacterium marseillense,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP022961.1,Plantactinospora sp. KBS50,Plantactinospora,Micromonosporaceae,Micromonosporales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023141.1,Aeromonas dhakensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP016303.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP016305.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP023202.1,Streptomyces xinghaiensis,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP023049.2,Chryseobacterium piperi,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
